time	se1	tm1	se2	tm2	se3	tm3	se4	tm4	se5	tm5	tmp
17:15:21	0.0	0.0	0.93	0.0	1.09	0.0	0.0	0.0	0.0	0.0	0.0
17:15:21	0.0	0.0	0.93	0.0	1.09	0.0	0.0	0.0	0.0	0.0	0.0
17:15:21	0.0	0.0	0.93	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:22	0.0	0.0	0.93	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:22	0.0	0.0	0.93	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:22	0.0	0.0	0.93	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:22	0.0	0.0	0.93	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:22	0.0	0.0	0.93	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:22	0.0	0.0	0.93	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:23	0.0	0.0	0.93	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:23	0.0	0.0	0.93	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:23	0.0	0.0	0.92	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:23	0.0	0.0	0.92	0.0	1.11	0.0	0.0	0.0	0.0	0.0	0.0
17:15:23	0.0	0.0	0.92	0.0	1.11	0.0	0.0	0.0	0.0	0.0	0.0
17:15:23	0.0	0.0	0.92	0.0	1.11	0.0	0.0	0.0	0.0	0.0	0.0
17:15:24	0.0	0.0	0.93	0.0	1.11	0.0	0.0	0.0	0.0	0.0	0.0
17:15:24	0.0	0.0	0.93	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:24	0.0	0.0	0.93	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:24	0.0	0.0	0.93	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:24	0.0	0.0	0.93	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:24	0.0	0.0	0.93	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:24	0.0	0.0	0.93	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:24	0.0	0.0	0.93	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:25	0.0	0.0	0.93	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:25	0.0	0.0	0.93	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:25	0.0	0.0	0.94	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:25	0.0	0.0	0.94	0.0	1.09	0.0	0.0	0.0	0.0	0.0	0.0
17:15:25	0.0	0.0	0.94	0.0	1.09	0.0	0.0	0.0	0.0	0.0	0.0
17:15:25	0.0	0.0	0.94	0.0	1.09	0.0	0.0	0.0	0.0	0.0	0.0
17:15:26	0.0	0.0	0.94	0.0	1.09	0.0	0.0	0.0	0.0	0.0	0.0
17:15:26	0.0	0.0	0.94	0.0	1.09	0.0	0.0	0.0	0.0	0.0	0.0
17:15:26	0.0	0.0	0.94	0.0	1.09	0.0	0.0	0.0	0.0	0.0	0.0
17:15:26	0.0	0.0	0.94	0.0	1.09	0.0	0.0	0.0	0.0	0.0	0.0
17:15:26	0.0	0.0	0.94	0.0	1.09	0.0	0.0	0.0	0.0	0.0	0.0
17:15:26	0.0	0.0	0.94	0.0	1.08	0.0	0.0	0.0	0.0	0.0	0.0
17:15:27	0.0	0.0	0.93	0.0	1.08	0.0	0.0	0.0	0.0	0.0	0.0
17:15:27	0.0	0.0	0.93	0.0	1.08	0.0	0.0	0.0	0.0	0.0	0.0
17:15:27	0.0	0.0	0.93	0.0	1.08	0.0	0.0	0.0	0.0	0.0	0.0
17:15:27	0.0	0.0	0.93	0.0	1.09	0.0	0.0	0.0	0.0	0.0	0.0
17:15:27	0.0	0.0	0.93	0.0	1.09	0.0	0.0	0.0	0.0	0.0	0.0
17:15:27	0.0	0.0	0.93	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:27	0.0	0.0	0.93	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:28	0.0	0.0	0.93	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:28	0.0	0.0	0.93	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:28	0.0	0.0	0.93	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:28	0.0	0.0	0.93	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:28	0.0	0.0	0.93	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:28	0.0	0.0	0.93	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
17:15:28	0.0	0.0	0.93	0.0	1.11	0.0	0.0	0.0	0.0	0.0	0.0
17:15:29	0.0	0.0	0.92	0.0	1.11	0.0	0.0	0.0	0.0	0.0	0.0
17:15:29	0.0	0.0	0.92	0.0	1.11	0.0	0.0	0.0	0.0	0.0	0.0
17:15:29	0.0	0.0	0.92	0.0	1.11	0.0	0.0	0.0	0.0	0.0	0.0
17:15:29	0.0	0.0	0.92	0.0	1.11	0.0	0.0	0.0	0.0	0.0	0.0
17:15:29	0.0	0.0	0.92	0.0	1.11	0.0	0.0	0.0	0.0	0.0	0.0
17:15:29	0.0	0.0	0.92	0.0	1.12	0.0	0.0	0.0	0.0	0.0	0.0
17:15:30	0.0	0.0	0.93	0.0	1.12	0.0	0.0	0.0	0.0	0.0	0.0
17:15:30	0.0	0.0	0.93	0.0	1.14	0.0	0.0	0.0	0.0	0.0	0.0
17:15:30	0.0	0.0	0.92	0.0	1.14	0.0	0.0	0.0	0.0	0.0	0.0
17:15:30	0.0	0.0	0.92	0.0	1.14	0.0	0.0	0.0	0.0	0.0	0.0
17:15:30	0.0	0.0	0.93	0.0	1.14	0.0	0.0	0.0	0.0	0.0	0.0
17:15:30	0.0	0.0	0.93	0.0	1.16	0.0	0.0	0.0	0.0	0.0	0.0
17:15:31	0.0	0.0	0.93	0.0	1.16	0.0	0.0	0.0	0.0	0.0	0.0
17:15:31	0.0	0.0	0.93	0.0	1.15	0.0	0.0	0.0	0.0	0.0	0.0
17:15:31	0.0	0.0	0.93	0.0	1.15	0.0	0.0	0.0	0.0	0.0	0.0
17:15:31	0.0	0.0	0.93	0.0	1.13	0.0	0.0	0.0	0.0	0.0	0.0
17:15:31	0.0	0.0	0.93	0.0	1.13	0.0	0.0	0.0	0.0	0.0	0.0
17:15:31	0.0	0.0	0.93	0.0	1.12	0.0	0.0	0.0	0.0	0.0	0.0
17:15:31	0.0	0.0	0.93	0.0	1.12	0.0	0.0	0.0	0.0	0.0	0.0
17:15:32	0.0	0.0	0.93	0.0	1.12	0.0	0.0	0.0	0.0	0.0	0.0
17:15:32	0.0	0.0	0.93	0.0	1.12	0.0	0.0	0.0	0.0	0.0	0.0
17:15:32	0.0	0.0	0.93	0.0	1.12	0.0	0.0	0.0	0.0	0.0	0.0
17:15:32	0.0	0.0	0.93	0.0	1.12	0.0	0.0	0.0	0.0	0.0	0.0
17:15:32	0.0	0.0	0.93	0.0	1.13	0.0	0.0	0.0	0.0	0.0	0.0
17:15:32	0.0	0.0	0.93	0.0	1.13	0.0	0.0	0.0	0.0	0.0	0.0
17:15:32	0.0	0.0	0.93	0.0	1.14	0.0	0.0	0.0	0.0	0.0	0.0
17:15:33	0.0	0.0	0.94	0.0	1.14	0.0	0.0	0.0	0.0	0.0	0.0
17:15:33	0.0	0.0	0.94	0.0	1.16	0.0	0.0	0.0	0.0	0.0	0.0
17:15:33	0.0	0.0	0.95	0.0	1.16	0.0	0.0	0.0	0.0	0.0	0.0
17:15:33	0.0	0.0	0.95	0.0	1.17	0.0	0.0	0.0	0.0	0.0	0.0
17:15:33	0.0	0.0	0.95	0.0	1.17	0.0	0.0	0.0	0.0	0.0	0.0
17:15:33	0.0	0.0	0.95	0.0	1.17	0.0	0.0	0.0	0.0	0.0	0.0
17:15:34	0.0	0.0	0.95	0.0	1.17	0.0	0.0	0.0	0.0	0.0	0.0
17:15:34	0.0	0.0	0.95	0.0	1.18	0.0	0.0	0.0	0.0	0.0	0.0
17:15:34	0.0	0.0	0.95	0.0	1.18	0.0	0.0	0.0	0.0	0.0	0.0
17:15:34	0.0	0.0	0.95	0.0	1.19	0.0	0.0	0.0	0.0	0.0	0.0
17:15:34	0.0	0.0	0.95	0.0	1.19	0.0	0.0	0.0	0.0	0.0	0.0
17:15:34	0.0	0.0	0.95	0.0	1.18	0.0	0.0	0.0	0.0	0.0	0.0
